User Input,Chatbot Response,Timestamp
hello,Hi there,2024-09-10 01:21:51
how are you ,My purpose is to assist you,2024-09-10 01:21:57
weather ,"I'm sorry, I cannot provide real-time weather information.",2024-09-10 01:22:20
How do I create a budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies.",2024-09-10 01:22:30
Today is a nice weather,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:29:52
How's the weather today,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:30:47
Hi,Hello,2024-10-03 08:30:56
hii,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-14 15:25:49
hello,"I'm fine, thank you",2024-12-14 15:26:44
how are you,"I'm fine, thank you",2024-12-14 15:27:09
what is your name,I am a chatbot,2024-12-14 15:27:39
hello,Hello,2024-12-14 15:27:52
what is your age,My purpose is to assist you,2024-12-14 15:28:23
how old are you ?,My purpose is to assist you,2024-12-14 15:29:09
Hello,Hey,2024-12-14 15:39:28
Hello,Hey,2024-12-20 20:30:31
